Date,Sales
2021-01-01,302
2021-02-01,645
2021-03-01,491
2021-04-01,337
2021-05-01,313
2021-06-01,953
2021-07-01,283
2021-08-01,888
2021-09-01,406
2021-10-01,761
2021-11-01,520
2021-12-01,647
2022-01-01,785
2022-02-01,425
2022-03-01,720
2022-04-01,458
2022-05-01,1033
2022-06-01,510
2022-07-01,1052
2022-08-01,710
2022-09-01,1181
2022-10-01,766
2022-11-01,925
2022-12-01,857
2023-01-01,840
2023-02-01,656
2023-03-01,752
2023-04-01,647
2023-05-01,956
2023-06-01,821
2023-07-01,540
2023-08-01,781
2023-09-01,1287
2023-10-01,1111
2023-11-01,1035
2023-12-01,630
2024-01-01,1092
2024-02-01,1274
2024-03-01,1079
2024-04-01,1313
2024-05-01,1407
2024-06-01,825
2024-07-01,1332
2024-08-01,1219
2024-09-01,1234
2024-10-01,921
2024-11-01,1193
2024-12-01,830
